CORREO, NOMBRECONSUMIDOR, PUNTOS
persona1@persona.com,Persona1,83355
persona2@persona.com,Persona2,26852
persona3@persona.com,Persona3,51063
persona4@persona.com,Persona4,88944
persona5@persona.com,Persona5,32715
persona6@persona.com,Persona6,7346
empresa7@empresa.com,Empresa7,8112
persona8@persona.com,Persona8,36881
persona9@persona.com,Persona9,83202
persona10@persona.com,Persona10,61137
persona11@persona.com,Persona11,2841
persona12@persona.com,Persona12,80041
persona13@persona.com,Persona13,94863
empresa14@empresa.com,Empresa14,60170
persona15@persona.com,Persona15,78851
persona16@persona.com,Persona16,71563
persona17@persona.com,Persona17,84137
persona18@persona.com,Persona18,6636
persona19@persona.com,Persona19,93998
persona20@persona.com,Persona20,34853
empresa21@empresa.com,Empresa21,74597
persona22@persona.com,Persona22,89115
persona23@persona.com,Persona23,59699
persona24@persona.com,Persona24,42145
persona25@persona.com,Persona25,34737
persona26@persona.com,Persona26,47176
persona27@persona.com,Persona27,3854
empresa28@empresa.com,Empresa28,91943
persona29@persona.com,Persona29,68944
persona30@persona.com,Persona30,43707
persona31@persona.com,Persona31,17894
persona32@persona.com,Persona32,42656
persona33@persona.com,Persona33,17811
persona34@persona.com,Persona34,49292
empresa35@empresa.com,Empresa35,39738
persona36@persona.com,Persona36,17621
persona37@persona.com,Persona37,65360
persona38@persona.com,Persona38,27282
persona39@persona.com,Persona39,34697
persona40@persona.com,Persona40,84502
persona41@persona.com,Persona41,36225
empresa42@empresa.com,Empresa42,40115
persona43@persona.com,Persona43,48702
persona44@persona.com,Persona44,59158
persona45@persona.com,Persona45,71867
persona46@persona.com,Persona46,80890
persona47@persona.com,Persona47,11767
persona48@persona.com,Persona48,81044
empresa49@empresa.com,Empresa49,58665
persona50@persona.com,Persona50,73862
persona51@persona.com,Persona51,29296
persona52@persona.com,Persona52,95829
persona53@persona.com,Persona53,62021
persona54@persona.com,Persona54,79743
persona55@persona.com,Persona55,5553
empresa56@empresa.com,Empresa56,42604
persona57@persona.com,Persona57,45619
persona58@persona.com,Persona58,17475
persona59@persona.com,Persona59,72464
persona60@persona.com,Persona60,89883
persona61@persona.com,Persona61,62362
persona62@persona.com,Persona62,32543
empresa63@empresa.com,Empresa63,63844
persona64@persona.com,Persona64,63731
persona65@persona.com,Persona65,51648
persona66@persona.com,Persona66,47769
persona67@persona.com,Persona67,35112
persona68@persona.com,Persona68,46552
persona69@persona.com,Persona69,14657
empresa70@empresa.com,Empresa70,45738
persona71@persona.com,Persona71,48424
persona72@persona.com,Persona72,44704
persona73@persona.com,Persona73,47147
persona74@persona.com,Persona74,87977
persona75@persona.com,Persona75,73580
persona76@persona.com,Persona76,78266
empresa77@empresa.com,Empresa77,81880
persona78@persona.com,Persona78,18274
persona79@persona.com,Persona79,34334
persona80@persona.com,Persona80,83563
persona81@persona.com,Persona81,82921
persona82@persona.com,Persona82,77926
persona83@persona.com,Persona83,35864
empresa84@empresa.com,Empresa84,12819
persona85@persona.com,Persona85,65820
persona86@persona.com,Persona86,5500
persona87@persona.com,Persona87,15311
persona88@persona.com,Persona88,41838
persona89@persona.com,Persona89,714
persona90@persona.com,Persona90,73109
empresa91@empresa.com,Empresa91,78806
persona92@persona.com,Persona92,63543
persona93@persona.com,Persona93,27584
persona94@persona.com,Persona94,17149
persona95@persona.com,Persona95,39825
persona96@persona.com,Persona96,86919
persona97@persona.com,Persona97,25111
empresa98@empresa.com,Empresa98,26221
persona99@persona.com,Persona99,91095
persona100@persona.com,Persona100,85531
persona101@persona.com,Persona101,37042
persona102@persona.com,Persona102,16478
persona103@persona.com,Persona103,24482
persona104@persona.com,Persona104,41683
empresa105@empresa.com,Empresa105,20564
persona106@persona.com,Persona106,7128
persona107@persona.com,Persona107,93239
persona108@persona.com,Persona108,81751
persona109@persona.com,Persona109,43995
persona110@persona.com,Persona110,64328
persona111@persona.com,Persona111,18796
empresa112@empresa.com,Empresa112,40788
persona113@persona.com,Persona113,42109
persona114@persona.com,Persona114,49872
persona115@persona.com,Persona115,11259
persona116@persona.com,Persona116,80836
persona117@persona.com,Persona117,81565
persona118@persona.com,Persona118,62328
empresa119@empresa.com,Empresa119,56930
persona120@persona.com,Persona120,29292
persona121@persona.com,Persona121,56010
persona122@persona.com,Persona122,76962
persona123@persona.com,Persona123,26515
persona124@persona.com,Persona124,19039
persona125@persona.com,Persona125,38805
empresa126@empresa.com,Empresa126,40731
persona127@persona.com,Persona127,66431
persona128@persona.com,Persona128,76415
persona129@persona.com,Persona129,40012
persona130@persona.com,Persona130,5326
persona131@persona.com,Persona131,20538
persona132@persona.com,Persona132,46755
empresa133@empresa.com,Empresa133,27608
persona134@persona.com,Persona134,98514
persona135@persona.com,Persona135,53931
persona136@persona.com,Persona136,35348
persona137@persona.com,Persona137,29327
persona138@persona.com,Persona138,72388
persona139@persona.com,Persona139,84307
empresa140@empresa.com,Empresa140,25138
persona141@persona.com,Persona141,51447
persona142@persona.com,Persona142,14895
persona143@persona.com,Persona143,74647
persona144@persona.com,Persona144,50900
persona145@persona.com,Persona145,27384
persona146@persona.com,Persona146,34119
empresa147@empresa.com,Empresa147,31627
persona148@persona.com,Persona148,58477
persona149@persona.com,Persona149,58301
persona150@persona.com,Persona150,63350
persona151@persona.com,Persona151,99997
persona152@persona.com,Persona152,81609
persona153@persona.com,Persona153,61799
empresa154@empresa.com,Empresa154,40590
persona155@persona.com,Persona155,5212
persona156@persona.com,Persona156,57974
persona157@persona.com,Persona157,94733
persona158@persona.com,Persona158,79677
persona159@persona.com,Persona159,89827
persona160@persona.com,Persona160,64832
empresa161@empresa.com,Empresa161,44051
persona162@persona.com,Persona162,16862
persona163@persona.com,Persona163,16933
persona164@persona.com,Persona164,76053
persona165@persona.com,Persona165,3846
persona166@persona.com,Persona166,70955
persona167@persona.com,Persona167,89750
empresa168@empresa.com,Empresa168,56935
persona169@persona.com,Persona169,50226
persona170@persona.com,Persona170,71760
persona171@persona.com,Persona171,8564
persona172@persona.com,Persona172,41551
persona173@persona.com,Persona173,19840
persona174@persona.com,Persona174,95484
empresa175@empresa.com,Empresa175,64081
persona176@persona.com,Persona176,53743
persona177@persona.com,Persona177,16272
persona178@persona.com,Persona178,51793
persona179@persona.com,Persona179,97598
persona180@persona.com,Persona180,96560
persona181@persona.com,Persona181,11854
empresa182@empresa.com,Empresa182,18810
persona183@persona.com,Persona183,6709
persona184@persona.com,Persona184,48234
persona185@persona.com,Persona185,68628
persona186@persona.com,Persona186,20860
persona187@persona.com,Persona187,56867
persona188@persona.com,Persona188,866
empresa189@empresa.com,Empresa189,17724
persona190@persona.com,Persona190,66661
persona191@persona.com,Persona191,38000
persona192@persona.com,Persona192,33293
persona193@persona.com,Persona193,2848
persona194@persona.com,Persona194,4161
persona195@persona.com,Persona195,16236
empresa196@empresa.com,Empresa196,85459
persona197@persona.com,Persona197,44048
persona198@persona.com,Persona198,29836
persona199@persona.com,Persona199,58136
persona200@persona.com,Persona200,39791
persona201@persona.com,Persona201,31951
persona202@persona.com,Persona202,37794
empresa203@empresa.com,Empresa203,76655
persona204@persona.com,Persona204,61331
persona205@persona.com,Persona205,65419
persona206@persona.com,Persona206,15217
persona207@persona.com,Persona207,92687
persona208@persona.com,Persona208,39560
persona209@persona.com,Persona209,99127
empresa210@empresa.com,Empresa210,41040
persona211@persona.com,Persona211,27687
persona212@persona.com,Persona212,26451
persona213@persona.com,Persona213,31015
persona214@persona.com,Persona214,70793
persona215@persona.com,Persona215,9950
persona216@persona.com,Persona216,54034
empresa217@empresa.com,Empresa217,36455
persona218@persona.com,Persona218,25265
persona219@persona.com,Persona219,46845
persona220@persona.com,Persona220,22054
persona221@persona.com,Persona221,21175
persona222@persona.com,Persona222,51161
persona223@persona.com,Persona223,75995
empresa224@empresa.com,Empresa224,35211
persona225@persona.com,Persona225,39879
persona226@persona.com,Persona226,37757
persona227@persona.com,Persona227,99140
persona228@persona.com,Persona228,14499
persona229@persona.com,Persona229,85707
persona230@persona.com,Persona230,61593
empresa231@empresa.com,Empresa231,15237
persona232@persona.com,Persona232,49425
persona233@persona.com,Persona233,40956
persona234@persona.com,Persona234,82428
persona235@persona.com,Persona235,23862
persona236@persona.com,Persona236,44864
persona237@persona.com,Persona237,38859
empresa238@empresa.com,Empresa238,36660
persona239@persona.com,Persona239,22852
persona240@persona.com,Persona240,70436
persona241@persona.com,Persona241,24290
persona242@persona.com,Persona242,99817
persona243@persona.com,Persona243,59290
persona244@persona.com,Persona244,60568
empresa245@empresa.com,Empresa245,49209
persona246@persona.com,Persona246,39014
persona247@persona.com,Persona247,71243
persona248@persona.com,Persona248,19270
persona249@persona.com,Persona249,76242
persona250@persona.com,Persona250,24337
persona251@persona.com,Persona251,72639
empresa252@empresa.com,Empresa252,97670
persona253@persona.com,Persona253,88882
persona254@persona.com,Persona254,59324
persona255@persona.com,Persona255,16408
persona256@persona.com,Persona256,18142
persona257@persona.com,Persona257,31420
persona258@persona.com,Persona258,88052
empresa259@empresa.com,Empresa259,35360
persona260@persona.com,Persona260,54439
persona261@persona.com,Persona261,80459
persona262@persona.com,Persona262,14871
persona263@persona.com,Persona263,34544
persona264@persona.com,Persona264,79792
persona265@persona.com,Persona265,90539
empresa266@empresa.com,Empresa266,6083
persona267@persona.com,Persona267,10847
persona268@persona.com,Persona268,15740
persona269@persona.com,Persona269,58293
persona270@persona.com,Persona270,93897
persona271@persona.com,Persona271,27813
persona272@persona.com,Persona272,56262
empresa273@empresa.com,Empresa273,54694
persona274@persona.com,Persona274,23904
persona275@persona.com,Persona275,17323
persona276@persona.com,Persona276,79621
persona277@persona.com,Persona277,72570
persona278@persona.com,Persona278,70453
persona279@persona.com,Persona279,44050
empresa280@empresa.com,Empresa280,4138
persona281@persona.com,Persona281,43818
persona282@persona.com,Persona282,76512
persona283@persona.com,Persona283,48348
persona284@persona.com,Persona284,44966
persona285@persona.com,Persona285,69824
persona286@persona.com,Persona286,56659
empresa287@empresa.com,Empresa287,47098
persona288@persona.com,Persona288,54729
persona289@persona.com,Persona289,18450
persona290@persona.com,Persona290,80491
persona291@persona.com,Persona291,19315
persona292@persona.com,Persona292,35845
persona293@persona.com,Persona293,59971
empresa294@empresa.com,Empresa294,47081
persona295@persona.com,Persona295,70542
persona296@persona.com,Persona296,77777
persona297@persona.com,Persona297,45938
persona298@persona.com,Persona298,55514
persona299@persona.com,Persona299,1853
persona300@persona.com,Persona300,74409
empresa301@empresa.com,Empresa301,14204
persona302@persona.com,Persona302,88114
persona303@persona.com,Persona303,82886
persona304@persona.com,Persona304,27059
persona305@persona.com,Persona305,94101
persona306@persona.com,Persona306,31032
persona307@persona.com,Persona307,21262
empresa308@empresa.com,Empresa308,86748
persona309@persona.com,Persona309,79166
persona310@persona.com,Persona310,85595
persona311@persona.com,Persona311,82340
persona312@persona.com,Persona312,46753
persona313@persona.com,Persona313,98883
persona314@persona.com,Persona314,7266
empresa315@empresa.com,Empresa315,6728
persona316@persona.com,Persona316,43882
persona317@persona.com,Persona317,3157
persona318@persona.com,Persona318,95616
persona319@persona.com,Persona319,30518
persona320@persona.com,Persona320,89968
persona321@persona.com,Persona321,40863
empresa322@empresa.com,Empresa322,38566
persona323@persona.com,Persona323,94995
persona324@persona.com,Persona324,99231
persona325@persona.com,Persona325,5543
persona326@persona.com,Persona326,52947
persona327@persona.com,Persona327,56787
persona328@persona.com,Persona328,84855
empresa329@empresa.com,Empresa329,45347
persona330@persona.com,Persona330,26983
persona331@persona.com,Persona331,67876
persona332@persona.com,Persona332,30412
persona333@persona.com,Persona333,4372
persona334@persona.com,Persona334,51573
persona335@persona.com,Persona335,84762
empresa336@empresa.com,Empresa336,23342
persona337@persona.com,Persona337,8452
persona338@persona.com,Persona338,60118
persona339@persona.com,Persona339,10776
persona340@persona.com,Persona340,81091
persona341@persona.com,Persona341,19896
persona342@persona.com,Persona342,42970
empresa343@empresa.com,Empresa343,52632
persona344@persona.com,Persona344,29487
persona345@persona.com,Persona345,69106
persona346@persona.com,Persona346,69882
persona347@persona.com,Persona347,44279
persona348@persona.com,Persona348,17270
persona349@persona.com,Persona349,93221
empresa350@empresa.com,Empresa350,82345
persona351@persona.com,Persona351,67424
persona352@persona.com,Persona352,15800
persona353@persona.com,Persona353,55925
persona354@persona.com,Persona354,94857
persona355@persona.com,Persona355,72211
persona356@persona.com,Persona356,8891
empresa357@empresa.com,Empresa357,81483
persona358@persona.com,Persona358,69689
persona359@persona.com,Persona359,11058
persona360@persona.com,Persona360,74247
persona361@persona.com,Persona361,17075
persona362@persona.com,Persona362,1836
persona363@persona.com,Persona363,34600
empresa364@empresa.com,Empresa364,64170
persona365@persona.com,Persona365,93522
persona366@persona.com,Persona366,5429
persona367@persona.com,Persona367,71510
persona368@persona.com,Persona368,70268
persona369@persona.com,Persona369,65895
persona370@persona.com,Persona370,93086
empresa371@empresa.com,Empresa371,60700
persona372@persona.com,Persona372,29084
persona373@persona.com,Persona373,8796
persona374@persona.com,Persona374,313
persona375@persona.com,Persona375,11424
persona376@persona.com,Persona376,71449
persona377@persona.com,Persona377,59241
empresa378@empresa.com,Empresa378,7661
persona379@persona.com,Persona379,51197
persona380@persona.com,Persona380,56878
persona381@persona.com,Persona381,45573
persona382@persona.com,Persona382,75506
persona383@persona.com,Persona383,52331
persona384@persona.com,Persona384,41893
empresa385@empresa.com,Empresa385,11754
persona386@persona.com,Persona386,8151
persona387@persona.com,Persona387,3111
persona388@persona.com,Persona388,66172
persona389@persona.com,Persona389,86660
persona390@persona.com,Persona390,96896
persona391@persona.com,Persona391,42240
empresa392@empresa.com,Empresa392,7140
persona393@persona.com,Persona393,94390
persona394@persona.com,Persona394,74574
persona395@persona.com,Persona395,71645
persona396@persona.com,Persona396,23685
persona397@persona.com,Persona397,3018
persona398@persona.com,Persona398,84055
empresa399@empresa.com,Empresa399,5230
persona400@persona.com,Persona400,69824
persona401@persona.com,Persona401,88274
persona402@persona.com,Persona402,53684
persona403@persona.com,Persona403,45421
persona404@persona.com,Persona404,91661
persona405@persona.com,Persona405,84191
empresa406@empresa.com,Empresa406,46841
persona407@persona.com,Persona407,51505
persona408@persona.com,Persona408,82019
persona409@persona.com,Persona409,50877
persona410@persona.com,Persona410,83295
persona411@persona.com,Persona411,51663
persona412@persona.com,Persona412,44470
empresa413@empresa.com,Empresa413,36681
persona414@persona.com,Persona414,89789
persona415@persona.com,Persona415,58764
persona416@persona.com,Persona416,44698
persona417@persona.com,Persona417,35856
persona418@persona.com,Persona418,26582
persona419@persona.com,Persona419,60772
empresa420@empresa.com,Empresa420,35109
persona421@persona.com,Persona421,71718
persona422@persona.com,Persona422,23851
persona423@persona.com,Persona423,98864
persona424@persona.com,Persona424,47923
persona425@persona.com,Persona425,73664
persona426@persona.com,Persona426,64273
empresa427@empresa.com,Empresa427,26584
persona428@persona.com,Persona428,99875
persona429@persona.com,Persona429,88782
persona430@persona.com,Persona430,55101
persona431@persona.com,Persona431,39061
persona432@persona.com,Persona432,54783
persona433@persona.com,Persona433,6840
empresa434@empresa.com,Empresa434,90524
persona435@persona.com,Persona435,94497
persona436@persona.com,Persona436,63641
persona437@persona.com,Persona437,4532
persona438@persona.com,Persona438,79328
persona439@persona.com,Persona439,79070
persona440@persona.com,Persona440,58768
empresa441@empresa.com,Empresa441,96257
persona442@persona.com,Persona442,75092
persona443@persona.com,Persona443,78047
persona444@persona.com,Persona444,18706
persona445@persona.com,Persona445,62884
persona446@persona.com,Persona446,33392
persona447@persona.com,Persona447,16247
empresa448@empresa.com,Empresa448,81883
persona449@persona.com,Persona449,67996
persona450@persona.com,Persona450,95208
persona451@persona.com,Persona451,60
persona452@persona.com,Persona452,220
persona453@persona.com,Persona453,23524
persona454@persona.com,Persona454,40734
empresa455@empresa.com,Empresa455,33848
persona456@persona.com,Persona456,31191
persona457@persona.com,Persona457,73988
persona458@persona.com,Persona458,34841
persona459@persona.com,Persona459,83916
persona460@persona.com,Persona460,89639
persona461@persona.com,Persona461,36692
empresa462@empresa.com,Empresa462,22413
persona463@persona.com,Persona463,12256
persona464@persona.com,Persona464,66364
persona465@persona.com,Persona465,43887
persona466@persona.com,Persona466,71705
persona467@persona.com,Persona467,81323
persona468@persona.com,Persona468,19971
empresa469@empresa.com,Empresa469,84272
persona470@persona.com,Persona470,65648
persona471@persona.com,Persona471,77948
persona472@persona.com,Persona472,9957
persona473@persona.com,Persona473,37323
persona474@persona.com,Persona474,7663
persona475@persona.com,Persona475,88163
empresa476@empresa.com,Empresa476,49734
persona477@persona.com,Persona477,6666
persona478@persona.com,Persona478,97358
persona479@persona.com,Persona479,735
persona480@persona.com,Persona480,15853
persona481@persona.com,Persona481,86114
persona482@persona.com,Persona482,58674
empresa483@empresa.com,Empresa483,49509
persona484@persona.com,Persona484,83812
persona485@persona.com,Persona485,31634
persona486@persona.com,Persona486,8222
persona487@persona.com,Persona487,96425
persona488@persona.com,Persona488,26133
persona489@persona.com,Persona489,21848
empresa490@empresa.com,Empresa490,18761
persona491@persona.com,Persona491,50573
persona492@persona.com,Persona492,19316
persona493@persona.com,Persona493,60656
persona494@persona.com,Persona494,6443
persona495@persona.com,Persona495,29603
persona496@persona.com,Persona496,75420
empresa497@empresa.com,Empresa497,98601
persona498@persona.com,Persona498,34737
persona499@persona.com,Persona499,84800
persona500@persona.com,Persona500,74161
persona501@persona.com,Persona501,82662
persona502@persona.com,Persona502,21296
persona503@persona.com,Persona503,70047
empresa504@empresa.com,Empresa504,41541
persona505@persona.com,Persona505,590
persona506@persona.com,Persona506,406
persona507@persona.com,Persona507,83726
persona508@persona.com,Persona508,30614
persona509@persona.com,Persona509,62064
persona510@persona.com,Persona510,60635
empresa511@empresa.com,Empresa511,63961
persona512@persona.com,Persona512,18996
persona513@persona.com,Persona513,11158
persona514@persona.com,Persona514,20887
persona515@persona.com,Persona515,70994
persona516@persona.com,Persona516,66528
persona517@persona.com,Persona517,21989
empresa518@empresa.com,Empresa518,74478
persona519@persona.com,Persona519,71098
persona520@persona.com,Persona520,65264
persona521@persona.com,Persona521,20911
persona522@persona.com,Persona522,11302
persona523@persona.com,Persona523,68271
persona524@persona.com,Persona524,70352
empresa525@empresa.com,Empresa525,83573
persona526@persona.com,Persona526,60345
persona527@persona.com,Persona527,5393
persona528@persona.com,Persona528,25442
persona529@persona.com,Persona529,77084
persona530@persona.com,Persona530,60614
persona531@persona.com,Persona531,18642
empresa532@empresa.com,Empresa532,27206
persona533@persona.com,Persona533,79754
